Chemical;Density (g/cm3);Melt_K;Boil_K;Melt_C;Boil_C;Melt_F;Boil_F
Water @STP       ;1;273;373;-0.1;99.9;31.7;211.7
Solder (Pb60Sn40);;456;;182.9;;361.1;
Cocoa butter     ;;307.2;;34.1;;93.3;
Paraffin wax     ;0.9;310;643;36.9;369.9;98.3;697.7
Hydrogen         ;0;14;20.3;-259.1;-252.9;-434.5;-423.2
Helium           ;0;;4.2;;-268.9;;-452.1
Beryllium        ;1.9;1560;2742;1286.8;2468.8;2348.3;4475.9
Carbon           ;2.3;;4000;;3726.8;;6740.3
Nitrogen         ;0;63.1;77.4;-210;-195.8;-346;-320.4
Oxygen           ;0;54.4;90.2;-218.8;-182.9;-361.8;-297.3
Sodium           ;1;370.9;1156;97.7;882.9;207.9;1621.1
Magnesium        ;1.7;923;1363;649.9;1089.8;1201.7;1993.7
Aluminium        ;2.7;933.5;2792;660.3;2518.8;1220.6;4565.9
Sulfur           ;2.1;388.4;717.9;115.2;444.7;239.4;832.5
Chlorine         ;0;171.6;239.1;-101.5;-34;-150.8;-29.3
Potassium        ;0.9;336.5;1032;63.4;758.9;146.1;1397.9
Titanium         ;4.5;1941;3560;1667.8;3286.8;3034.1;5948.3
Iron             ;7.9;1811;3134;1537.8;2860.8;2800.1;5181.5
Nickel           ;8.9;1728;3186;1454.8;2912.8;2650.7;5275.1
Copper           ;9;1357.8;2835;1084.6;2561.8;1984.3;4643.3
Zinc             ;7.1;692.9;1180;419.7;906.9;787.5;1664.3
Gallium          ;5.9;302.9;2673;29.8;2399.8;85.6;4351.7
Silver           ;10.5;1234.9;2435;961.8;2161.8;1763.2;3923.3
Cadmium          ;8.7;594.2;1040;321.1;766.9;609.9;1412.3
Indium           ;7.3;429.8;2345;156.6;2071.8;313.9;3761.3
Iodine           ;4.9;386.9;457.4;113.7;184.2;236.7;363.6
Tantalum         ;16.7;3290;5731;3016.8;5457.9;5462.3;9856.1
Tungsten         ;19.2;3695;5828;3421.8;5554.9;6191.3;10030.7
Platinum         ;21.5;2041.4;4098;1768.2;3824.8;3214.8;6916.7
Gold             ;19.3;1337.3;3129;1064.2;2855.8;1947.5;5172.5
Mercury          ;13.5;234.4;629.9;-38.7;356.7;-37.7;674.1
Lead             ;11.3;600.6;2022;327.5;1748.8;621.4;3179.9
Bismuth          ;9.8;544.7;1837;271.6;1563.8;520.8;2846.9
