Chemical;Density (g/cm3);Melt (K);Boil (K)
Water @STP;1;273;373
Solder (Pb60Sn40);;456;
Cocoa butter;;307.2;
Paraffin wax;0.9;310;643
Hydrogen;0.00008988;14.01;20.28
Helium;0.0001785;;4.22
Beryllium;1.85;1560;2742
Carbon;2.267;;4000
Nitrogen;0.0012506;63.15;77.36
Oxygen;0.001429;54.36;90.2
Sodium;0.971;370.87;1156
Magnesium;1.738;923;1363
Aluminium;2.698;933.47;2792
Sulfur;2.067;388.36;717.87
Chlorine;0.003214;171.6;239.11
Potassium;0.862;336.53;1032
Titanium;4.54;1941;3560
Iron;7.874;1811;3134
Nickel;8.912;1728;3186
Copper;8.96;1357.77;2835
Zinc;7.134;692.88;1180
Gallium;5.907;302.9146;2673
Silver;10.501;1234.93;2435
Cadmium;8.69;594.22;1040
Indium;7.31;429.75;2345
Iodine;4.93;386.85;457.4
Tantalum;16.654;3290;5731
Tungsten;19.25;3695;5828
Platinum;21.46;2041.4;4098
Gold;19.282;1337.33;3129
Mercury;13.5336;234.43;629.88
Lead;11.342;600.61;2022
Bismuth;9.807;544.7;1837
